Date,Writing,Notes (Writing),Didn’t spend frivolously (3 month goal),Notes (Didn’t spend frivolously (3 month goal)),Didn’t order out,Notes (Didn’t order out),Meditating,Notes (Meditating),Exercising / 10K Steps,Notes (Exercising / 10K Steps),Time Outdoors (3x week),Notes (Time Outdoors (3x week)),Community,Notes (Community),Read,Notes (Read),Take Vitamins,Notes (Take Vitamins),Journaling,Notes (Journaling)
2018-03-05,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-06,-,-,-,-,-,-,Green,-,Blue,Finger sliced by mandolin,-,-,-,-,-,-,Green,-,-,-
2018-03-07,-,-,-,-,-,-,Green,-,Green,Push-ups and stretching. Finger still healing,-,-,-,-,-,-,Green,-,-,-
2018-03-08,-,-,-,-,-,-,Green,-,Blue,Slept 5 hours and finger still hurt from cut 😢,-,-,-,-,-,-,Green,-,-,-
2018-03-09,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-10,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-11,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-12,-,-,-,-,-,-,Green,-,Blue,Stretching only,-,-,-,-,-,-,Green,-,-,-
2018-03-13,-,-,-,-,-,-,Green,-,Green,Push-ups only,-,-,-,-,-,-,Green,-,-,-
2018-03-14,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-16,-,-,-,-,-,-,Green,-,Blue,Rest + stretching,-,-,-,-,-,-,Green,-,-,-
2018-03-17,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-18,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-19,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-20,-,-,-,-,-,-,Blue,Ran out the door for a meeting,Blue,Ran out the door for a meeting,-,-,-,-,-,-,Green,-,-,-
2018-03-21,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-22,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-23,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-24,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2018-03-25,-,-,-,-,-,-,Green,-,Blue,Stretching only. Rest,-,-,-,-,-,-,Green,-,-,-
2018-03-26,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
